"Denominação
genérica","Concentração/
Composição","Forma
farmacêutica","Código
ATC",Componente
ácido ursodesoxicólico,50 mg,comprimido,A05AA02,Especializado
ácido ursodesoxicólico,150 mg,comprimido,A05AA02,Especializado
ácido ursodesoxicólico,300 mg,comprimido,A05AA02,Especializado
alfa-alglicosidade,50 mg,"pó para solução
injetável",A16AB07,Especializado
alfacalcidol,"0,25 micrograma",cápsula mole,A11CC03,Especializado
alfacalcidol,1 micrograma,cápsula mole,A11CC03,Especializado
alfaelosulfase,5 mg,solução injetável,A16AB12,Especializado
alfataliglicerase,200 unidades,"pó para solução
injetável",A16AB11,Especializado
alfavelaglicerase,400 unidades,"pó para solução
injetável",A16AB10,Especializado
alfavestronidase,2 mg/mL,solução injetável,A16AB18,Especializado
biotina,"2,5 mg",cápsula,A11HA05,Especializado
calcitriol,"0,25 micrograma",cápsula mole,A11CC04,Especializado
carbonato de cálcio,"1.250 mg (500 mg de
cálcio)",comprimido,A12AA04,Básico
Carbonato de cálcio + colecalciferol,"1.250 mg (500 mg de
cálcio) + 200 unidades
internacionais",comprimido,A11CC05,Básico
Carbonato de cálcio + colecalciferol,"1.250 mg (500 mg de
cálcio) + 400 unidades
internacionais",comprimido,A11CC05,Básico
Carbonato de cálcio + colecalciferol,"1.500 mg (600 mg de
cálcio) + 400 unidades
internacionais",comprimido,A11CC05,Básico
carvão vegetal ativado,,"pó para
suspensão oral",A07BA01,Básico
cloridrato de metformina,500 mg,comprimido,A10BA02,Básico
cloridrato de metformina,850 mg,comprimido,A10BA02,Básico
cloridrato de metoclopramida,10 mg,comprimido,A03FA01,Básico
cloridrato de metoclopramida,5 mg/mL,solução injetável,A03FA01,Básico
cloridrato de metoclopramida,4 mg/mL,solução oral,A03FA01,Básico
cloridrato de ondansetrona,4 mg,comprimido,A04AA01,Básico
cloridrato de ondansetrona,4 mg,"comprimido
orodispersível",A04AA01,Básico
cloridrato de ondansetrona,8 mg,comprimido,A04AA01,Básico
cloridrato de ondansetrona,8 mg,"comprimido
orodispersível",A04AA01,Básico
cloridrato de piridoxina,40 mg,comprimido,A11HA02,Básico
cloridrato de piridoxina,100 mg,comprimido,A11HA02,Estratégico
cloridrato de tiamina,300 mg,comprimido,A11DA01,Básico
dapagliflozina,10 mg,comprimido,A10BK01,Especializado
dicloridrato de sapropterina,100 mg,comprimido,A16AX07,"Estratégico e
Especializado"
digliconato de clorexidina,"0,0012",solução bucal,A01AB03,Básico
fosfato de cálcio tribásico + colecalciferol,"1661,616 mg (600 mg de
cálcio) + 400 unidades
internacionais",comprimido,A11CC05,Básico
galsulfase,5 mg,solução injetável,A16AB08,Especializado
glibenclamida,5 mg,comprimido,A10BB01,Básico
glicerol,120 mg/mL,solução retal,A06AG04,Básico
glicerol,72 mg,supositório retal,A06AG04,Básico
gliclazida,30 mg,"comprimido
de liberação
prolongada",A10BB09,Básico
gliclazida,60 mg,"comprimido
de liberação
prolongada",A10BB09,Básico
gliclazida,80 mg,comprimido,A10BB09,Básico
hidróxido de alumínio,"61,5 mg/mL",suspensão oral,A02AB01,Básico
hidróxido de alumínio,230 mg,comprimido,A02AB01,Básico
hidróxido de alumínio,300 mg,comprimido,A02AB01,Básico
idursulfase,2 mg/mL,solução injetável,A16AB09,Especializado
imiglucerase,400 unidades,"pó para solução
injetável",A16AB02,Especializado
insulina analógica de ação prolongada,"100  unidades
internacionais/mL","solução injetável
com sistema de
aplicação",A10AE,Especializado
insulina analógica de ação prolongada,"300 unidades
internacionais/mL","solução injetável
com sistema de
aplicação",A10AE,Especializado
insulina análoga de ação rápida,"100  unidades
internacionais/mL","solução injetável
com sistema de
aplicação",A10AB,Especializado
insulina humana NPH,"100 unidades
internacionais/mL","suspensão
injetável",A10AC01,Básico
insulina humana regular,"100 unidades
internacionais/mL",solução injetável,A10AB01,Básico
lactulose,667 mg/mL,xarope,A06AD11,Básico
laronidase,"0,58 mg/mL",solução injetável,A16AB05,Especializado
mesalazina,400 mg,comprimido,A07EC02,Especializado
mesalazina,500 mg,"comprimido
de liberação
prolongada",A07EC02,Especializado
mesalazina,800 mg,comprimido,A07EC02,Especializado
mesalazina,250 mg,supositório retal,A07EC02,Especializado
mesalazina,500 mg,supositório retal,A07EC02,Especializado
mesalazina,1.000 mg,supositório retal,A07EC02,Especializado
mesalazina,10 mg/mL,enema retal,A07EC02,Especializado
miglustate,100 mg,cápsula,A16AX06,Especializado
nistatina,"100.000 unidades
internacionais/mL",suspensão oral,A07AA02,Básico
nitrato de miconazol,2% (20 mg/g),gel oral,A01AB09,Básico
omeprazol,10 mg,cápsula,A02BC01,Básico
omeprazol,20 mg,cápsula,A02BC01,Básico
palmitato de retinol,"150.000 unidades
internacionais/mL",solução oral,A11CA01,Básico
palmitato de retinol,"100.000 unidades
internacionais",cápsula mole,A11CA01,Estratégico
palmitato de retinol,"200.000 unidades
internacionais",cápsula mole,A11CA01,Estratégico
palmitato de retinol,"10.000 unidades
internacionais",cápsula,A09AA,Especializado
palmitato de retinol,"25.000 unidades
internacionais",cápsula,A09AA,Especializado
sais para reidratação oral,"cloreto de sódio, glicose anidra, cloreto de potássio, citrato de sódio diidratado","pó para solução
oral",A07CA,Básico
sulfassalazina,500 mg,comprimido,A07EC01,Especializado
sulfato de atropina,"0,25 mg/mL",solução injetável,A03BA01,Básico
sulfato de magnésio,,pó para solução oral,A06AD04,Básico
sulfato de magnésio,"10% (0,81 mEq/mL
Mg++)",solução injetável,"A12CC02;
B05XA05",Básico
sulfato de magnésio,"50% (4,05 mEq/mL
Mg++)",solução injetável,"A12CC02;
B05XA05",Básico
sulfato de zinco,200 microgramas/mL,solução injetável,A12CB01,Básico
sulfato de zinco,10 mg,Comprimido mastigável,A12CB01,Básico
sulfato de zinco,4 mg/mL,xarope,A12CB01,Básico
trientina,250 mg,cápsula,A16AX12,Especializado
