"Denominação
genérica","Concentração/
Composição","Forma
farmacêutica","Código
ATC",Componente
abciximabe,2 mg/mL,solução injetável,B01AC13,Hospitalar
acetato de sódio,2 mEq/mL,solução injetável,B05XA08,Básico
"ácido
acetilsalicílico",100 mg,comprimido,B01AC06,Básico
ácido fólico,5 mg,comprimido,B03BB01,Básico
ácido fólico,"0,2 mg/mL",solução oral,B03BB01,Básico
ácido tranexâmico,250 mg,comprimido,B02AA02,Estratégico
albumina humana,"0,2 g/mL (20%)",solução injetável,B05AA01,Hospitalar
alfaepoetina,"1.000 unidades
internacionais","pó para solução
injetável",B03XA,Especializado
alfaepoetina,"2.000 unidades
internacionais","pó para solução
injetável",B03XA,Especializado
alfaepoetina,"3.000 unidades
internacionais","pó para solução
injetável",B03XA,Especializado
alfaepoetina,"4.000 unidades
internacionais","pó para solução
injetável",B03XA,Especializado
alfaepoetina,"10.000 unidades
internacionais","pó para solução
injetável",B03XA,Especializado
alfaepoetina,"1.000 unidades
internacionais",solução injetável,B03XA,Especializado
alfaepoetina,"2.000 unidades
internacionais",solução injetável,B03XA,Especializado
alfaepoetina,"3.000 unidades
internacionais",solução injetável,B03XA,Especializado
alfaepoetina,"4.000 unidades
internacionais",solução injetável,B03XA,Especializado
alfaepoetina,"10.000 unidades
internacionais",solução injetável,B03XA,Especializado
alteplase,10 mg,"pó para solução
injetável",B01AD02,Hospitalar
alteplase,20 mg,"pó para solução
injetável",B01AD02,Hospitalar
alteplase,50 mg,"pó para solução
injetável",B01AD02,Hospitalar
"bicarbonato de
sódio","1 mEq/mL (8,4%)",solução injetável,B05XA02,Básico
cianocobalamina,1.000 microgramas,solução injetável,B03BA01,Básico
clopidogrel,75 mg,comprimido,B01AC04,"Especializado e
Hospitalar"
"cloreto de
potássio","2,56 mEq/mL (19,1%)",solução injetável,B05XA01,Básico
cloreto de sódio,"3,4 mEq/mL (20%)",solução injetável,B05XA03,Básico
cloreto de sódio,"0,9% (0,154 mEq/mL)",solução injetável,B05XA03,Básico
cloridrato de tirofibana,"0,25 mg/mL",solução injetável,B01AC17,Hospitalar
complexo protrombínico humano,"500 unidades
internacionais","pó para solução
injetável",B02BD01,Estratégico
complexo protrombínico humano,"600 unidades
internacionais","pó para solução
injetável",B02BD01,"Estratégico e
Hospitalar"
"complexo
protrombínico
parcialmente
ativado",500 unidades,"pó para solução
injetável",B02BD03,Estratégico
"complexo
protrombínico
parcialmente
ativado",1.000 unidades,"pó para solução
injetável",B02BD03,Estratégico
"complexo
protrombínico
parcialmente
ativado",2.500 unidades,"pó para solução
injetável",B02BD03,Estratégico
"eltrombopague
olamina",25 mg,comprimido,B02BX05,Especializado
"eltrombopague
olamina",50 mg,comprimido,B02BX05,Especializado
emicizumabe,"60 mg/0,4 mL",solução injetável,B02BX06,Estratégico
emicizumabe,30 mg/mL,solução injetável,B02BX06,Estratégico
emicizumabe,"105 mg/ 0,7 mL",solução injetável,B02BX06,Estratégico
emicizumabe,150 mg/mL,solução injetável,B02BX06,Estratégico
"enoxaparina
sódica","40 mg/0,4 mL",solução injetável,B01AB05,Especializado
"enoxaparina
sódica","60 mg/0,6 mL",solução injetável,B01AB05,Especializado
estreptoquinase,"250.000 unidades
internacionais","pó para solução
injetável",B01AD01,Hospitalar
fator IX de coagulação,"200 unidades
internacionais","pó para solução
injetável",B02BD04,Estratégico
fator IX de coagulação,"250 unidades
internacionais","pó para solução
injetável",B02BD04,Estratégico
fator IX de coagulação,"500 unidades
internacionais","pó para solução
injetável",B02BD04,Estratégico
fator IX de coagulação,"600 unidades
internacionais","pó para solução
injetável",B02BD04,Estratégico
fator IX de coagulação,"1.000 unidades
internacionais","pó para solução
injetável",B02BD04,Estratégico
fator IX de coagulação,"1.200 unidades
internacionais","pó para solução
injetável",B02BD04,Estratégico
fator VII de coagulação ativado recombinante,"1 mg (50.000 unidades
internacionais)","pó para solução
injetável",B02BD05,Estratégico
fator VII de coagulação ativado recombinante,"2 mg (100.000 unidades
internacionais)","pó para solução
injetável",B02BD05,Estratégico
fator VII de coagulação ativado recombinante,"5 mg (250.000 unidades
internacionais)","pó para solução
injetável",B02BD05,Estratégico
"fator VIII de
coagulação","1.000 unidades
internacionais","pó para solução
injetável",B02BD02,Estratégico
"fator VIII de
coagulação","500 unidades
internacionais","pó para solução
injetável",B02BD02,Estratégico
"fator VIII de
coagulação","250 unidades
internacionais","pó para solução
injetável",B02BD02,Estratégico
"fator VIII de
coagulação
contendo fator de
von Willebrand","250 unidades
internacionais","pó para solução
injetável",B02BD06,Estratégico
"fator VIII de
coagulação
contendo fator de
von Willebrand","500 unidades
internacionais","pó para solução
injetável",B02BD06,Estratégico
"fator VIII de
coagulação
contendo fator de
von Willebrand","1.000 unidades
internacionais","pó para solução
injetável",B02BD06,Estratégico
"fator VIII de
coagulação
recombinante","250 unidades
internacionais","pó para solução
injetável",B02BD02,Estratégico
"fator VIII de
coagulação
recombinante","500 unidades
internacionais","pó para solução
injetável",B02BD02,Estratégico
"fator VIII de
coagulação
recombinante","1.000 unidades
internacionais","pó para solução
injetável",B02BD02,Estratégico
"fator XIII de
coagulação","250 unidades
internacionais","pó para solução
injetável",B02BD07,Estratégico
fibrinogênio,1 g,"pó para solução
injetável",B02BB01,Estratégico
"fosfato de
potássio
monobásico
+ fosfato de
potássio dibásico","0,03 g/mL + 0,1567 g/mL",solução injetável,B05XA06,Básico
