Denominação genérica,"Concentração/
Composição","Forma
farmacêutica","Código
ATC",Componente
ácido nicotínico,500 mg,"comprimido
de liberação
prolongada",C10AD02,Especializado
ambrisentana,5 mg,comprimido,C02KX02,Especializado
ambrisentana,10 mg,comprimido,C02KX02,Especializado
anlodipino,5 mg,comprimido,C08CA01,Básico
anlodipino,10 mg,comprimido,C08CA01,Básico
atenolol,50 mg,comprimido,C07AB03,Básico
atenolol,100 mg,comprimido,C07AB03,Básico
"atorvastatina
cálcica",10 mg,comprimido,C10AA05,Especializado
"atorvastatina
cálcica",20 mg,comprimido,C10AA05,Especializado
"atorvastatina
cálcica",40 mg,comprimido,C10AA05,Especializado
"atorvastatina
cálcica",80 mg,comprimido,C10AA05,Especializado
bezafibrato,200 mg,comprimido,C10AB02,Especializado
bezafibrato,400 mg,"comprimido
de liberação
prolongada",C10AB02,Especializado
bosentana,"62,5 mg",comprimido,C02KX01,Especializado
bosentana,125 mg,comprimido,C02KX01,Especializado
captopril,25 mg,comprimido,C09AA01,Básico
carvedilol,"3,125 mg",comprimido,C07AG02,Básico
carvedilol,"6,25 mg",comprimido,C07AG02,Básico
carvedilol,"12,5 mg",comprimido,C07AG02,Básico
carvedilol,25 mg,comprimido,C07AG02,Básico
ciprofibrato,100 mg,comprimido,C10AB08,Especializado
"citrato de
sildenafila",20 mg,comprimido,C01CE,Especializado
"citrato de
sildenafila",25 mg,comprimido,C01CE,Especializado
"citrato de
sildenafila",50 mg,comprimido,C01CE,Especializado
"cloridrato de
amiodarona",50 mg/mL,solução injetável,C01BD01,Básico
"cloridrato de
amiodarona",200 mg,comprimido,C01BD01,Básico
"cloridrato de
dobutamina","12,5 mg/mL",solução injetável,C01CA07,Básico
cloridrato de dopamina,5 mg/mL,solução injetável,C01CA04,Básico
"cloridrato de
hidralazina",25 mg,comprimido,C02DB02,Básico
"cloridrato de
hidralazina",50 mg,comprimido,C02DB02,Básico
"cloridrato de
lidocaína",10 mg/mL (1%),solução injetável,"C01BB01;
N01BB02",Básico
"cloridrato de
lidocaína",20 mg/mL (2%),solução injetável,"C01BB01;
N01BB02",Básico
"cloridrato de
propafenona",300 mg,comprimido,C01BC03,Básico
"cloridrato de
propafenona",150 mg,comprimido,C01BC03,Básico
"cloridrato de
propranolol",10 mg,comprimido,C07AA05,Básico
"cloridrato de
propranolol",40 mg,comprimido,C07AA05,Básico
"cloridrato de
verapamil",80 mg,comprimido,C08DA01,Básico
"cloridrato de
verapamil","2,5 mg/mL",solução injetável,C08DA01,Básico
"cloridrato de
verapamil",120 mg,comprimido,C08DA01,Básico
digoxina,"0,25 mg",comprimido,C01AA05,Básico
digoxina,"0,05 mg/mL",elixir,C01AA05,Básico
"dinitrato de
isossorbida",5 mg,"comprimido
sublingual",C01DA08,Básico
epinefrina,1 mg/mL,solução injetável,C01CA03,Básico
espironolactona,25 mg,comprimido,C03DA01,Básico
espironolactona,100 mg,comprimido,C03DA01,Básico
etofibrato,500 mg,cápsula,C10AB09,Especializado
fenofibrato,200 mg,cápsula,C10AB05,Especializado
fenofibrato,250 mg,"cápsula de
liberação
retardada",C10AB05,Especializado
furosemida,40 mg,comprimido,C03CA01,Básico
furosemida,10 mg/mL,solução injetável,C03CA01,Básico
genfibrozila,600 mg,comprimido,C10AB04,Especializado
genfibrozila,900 mg,comprimido,C10AB04,Especializado
"hemitartarato de
norepinefrina",2 mg/mL,solução injetável,C01CA24,Básico
hidroclorotiazida,"12,5 mg",comprimido,C03AA03,Básico
hidroclorotiazida,25 mg,comprimido,C03AA03,Básico
"losartana
potássica",50 mg,comprimido,C09CA01,Básico
"maleato de
enalapril",5 mg,comprimido,C09AA02,Básico
"maleato de
enalapril",10 mg,comprimido,C09AA02,Básico
"maleato de
enalapril",20 mg,comprimido,C09AA02,Básico
"mesilato de
doxazosina",2 mg,comprimido,C02CA04,Básico
"mesilato de
doxazosina",4 mg,comprimido,C02CA04,Básico
metildopa,250 mg,comprimido,C02AB01,Básico
"mononitrato de
isossorbida",20 mg,comprimido,C01DA14,Básico
"mononitrato de
isossorbida",40 mg,comprimido,C01DA14,Básico
pentoxifilina,400 mg,comprimido,C04AD03,Estratégico
"pravastatina
sódica",10 mg,comprimido,C10AA03,Especializado
"pravastatina
sódica",20 mg,comprimido,C10AA03,Especializado
"pravastatina
sódica",40 mg,comprimido,C10AA03,Especializado
"sacubitril
valsartana sódica
hidratada",50 mg,comprimido,C09DX04,Especializado
"sacubitril
valsartana sódica
hidratada",100 mg,comprimido,C09DX04,Especializado
"sacubitril
valsartana sódica
hidratada",200 mg,comprimido,C09DX04,Especializado
sinvastatina,20 mg,comprimido,C10AA01,Básico
sinvastatina,40 mg,comprimido,C10AA01,Básico
sinvastatina,10 mg,comprimido,C10AA01,Básico
"succinato de
metoprolol",25 mg,"comprimido
de liberação
prolongada",C07AB02,Básico
"succinato de
metoprolol",50 mg,"comprimido
de liberação
prolongada",C07AB02,Básico
"succinato de
metoprolol",100 mg,"comprimido
de liberação
prolongada",C07AB02,Básico
"tartarato de
metoprolol",100 mg,comprimido,C07AB02,Básico
