Denominação genérica,"Concentração/
Composição","Forma
farmacêutica","Código
ATC",Componente
"acetato de
ciproterona",50 mg,comprimido,G03HA01,Especializado
"acetato de
droxiprogesterona",50 mg/mL,"suspensão
injetável",G03AC06,Básico
"acetato de
droxiprogesterona",150 mg/mL,"suspensão
injetável",G03AC06,Básico
"acetato de
droxiprogesterona",10 mg,comprimido,G03DA02,Básico
cabergolina,"0,5 mg",comprimido,"G02CB03;
N04BC06","Básico,
Especializado e
Hospitalar"
"cloridrato de
raloxifeno",60 mg,comprimido,G03XC01,Especializado
danazol,100 mg,cápsula,G03XA01,Especializado
danazol,200 mg,cápsula,G03XA01,Especializado
dispositivo intrauterino plástico com cobre,,"modelo T 380
mm2",G02BA02,Insumos (Básico)
"enantato de
noretisterona
+ valerato de
estradiol",50 mg/mL + 5 mg/mL,solução injetável,G03AA05,Básico
estriol,1 mg/g,creme vaginal,G03CA04,Básico
"estrogênios
conjugados","0,625 mg/g",creme vaginal,G03CA57,Básico
"estrogênios
conjugados","0,3 mg",comprimido,G03CA57,Básico
"etinilestradiol +
levonorgestrel","0,03 mg + 0,15 mg",comprimido,G03AA07,Básico
finasterida,5 mg,comprimido,G04CB01,Básico
levonorgestrel,"0,75 mg",comprimido,G03AC03,Básico
levonorgestrel,"1,5 mg",comprimido,G03AC03,Básico
metronidazol,100 mg/g (10%),gel vaginal,G01AF01,Básico
misoprostol,25 microgramas,"comprimido
vaginal",G02AD06,Básico
misoprostol,200 microgramas,"comprimido
vaginal",G02AD06,Básico
nifedipino,10 mg,cápsula,G02C,Básico
nifedipino,10 mg,comprimido,G02C,Básico
"nitrato de
miconazol",2% (20 mg/g),creme vaginal,G01AF04,Básico
noretisterona,"0,35 mg",comprimido,G03AC01,Básico
