Denominação genérica,"Concentração/
Composição","Forma
farmacêutica","Código
ATC",Componente,"Classificação
AWaRe"
aciclovir,200 mg,comprimido,J05AB01,Básico,
aciclovir,250 mg,"pó para
solução
injetável",J05AB01,Básico,
"ácido
araminossalicílico",4 g,granulado oral,J04AA01,Estratégico,
amoxicilina,50 mg/mL,"suspensão
oral",J01CA04,Básico,Acesso
amoxicilina,500 mg,cápsula,J01CA04,Básico,Acesso
amoxicilina,500 mg,comprimido,J01CA04,Básico,Acesso
"amoxicilina +
clavulanato de
potássio","50 mg/mL + 12,5
mg/mL","suspensão
oral",J01CR02,Básico,Acesso
"amoxicilina +
clavulanato de
potássio",500 mg + 125 mg,comprimido,J01CR02,Básico,Acesso
"anfotericina B
(complexo lipídico)",5 mg/mL,"suspensão
injetável",J02AA01,Estratégico,Acesso
"anfotericina B
(desoxicolato)",50 mg,"pó para
solução
injetável",J02AA01,Estratégico,Acesso
"anfotericina B
(lipossomal)",50 mg,"pó para
solução
injetável",J02AA01,Estratégico,Acesso
"anfotericina B
(lipossomal)",500 mg,comprimido,J01FA10,"Básico e
Estratégico",Alerta
"anfotericina B
(lipossomal)",40 mg/mL,"pó para
suspensão
oral",J01FA10,"Básico e
Estratégico",Alerta
"anfotericina B
(lipossomal)",250 mg,comprimido,J01FA10,Estratégico,Alerta
bedaquilina,100 mg,comprimido,J04AK05,Estratégico,Alerta
"benzilpenicilina
benzatina","600.000
unidades
internacionais","pó para
suspensão
injetável",J01CR02,Básico,Acesso
"benzilpenicilina
benzatina","600.000
unidades
internacionais","suspensão
injetável",J01CR02,Básico,Acesso
"benzilpenicilina
benzatina","1.200.000
unidades
internacionais","pó para
suspensão
injetável",J01CR02,"Básico e
Estratégico",Acesso
"benzilpenicilina
benzatina","1.200.000
unidades
internacionais","suspensão
injetável",J01CR02,"Básico e
Estratégico",Acesso
"benzilpenicilina
potássica","5.000.000
unidades
internacionais","pó para
solução
injetável",J01CE01,"Básico e
Estratégico",Acesso
"benzilpenicilina
procaína +
benzilpenicilina
potássica","300.000
unidades
internacionais
+ 100.000
unidades
internacionais","pó para
suspensão
injetável",J01CE30,Básico,Acesso
capreomicina,1 g,"pó para
solução
injetável",J04AB30,Estratégico,Acesso
cefalexina,500 mg,cápsula,J01DB01,Básico,Acesso
cefalexina,500 mg,comprimido,J01DB01,Básico,Acesso
cefalexina,50 mg/mL,"suspensão
oral",J01DB01,Básico,Acesso
cefalexina,500 mg,"pó para
solução
injetável",J01DD01,Básico,Alerta
ceftriaxona,250 mg,"pó para
solução
injetável",J01DD04,Básico,Alerta
ceftriaxona,1 g,"pó para
solução
injetável",J01DD04,Básico,Alerta
ceftriaxona,500 mg,"pó para
solução
injetável",J01DD04,Básico,Alerta
ciprofloxacino,250 mg,comprimido,J01MA02,Básico,Alerta
ciprofloxacino,500 mg,comprimido,J01MA02,Básico,Alerta
claritromicina,250 mg,comprimido,J01FA09,Básico,Alerta
claritromicina,50 mg/mL,"suspensão
oral",J01FA09,Básico,Alerta
claritromicina,500 mg,comprimido,J01FA09,"Básico e
Estratégico",Alerta
claritromicina,500 mg,cápsula,J01FA09,"Básico e
Estratégico",Alerta
clofazimina,50 mg,cápsula,J04BA01,Estratégico,Alerta
clofazimina,100 mg,cápsula,J04BA01,Estratégico,Alerta
cloranfenicol,250 mg,cápsula,J01BA01,Básico,Acesso
cloranfenicol,250 mg,comprimido,J01BA01,Básico,Acesso
cloranfenicol,25 mg/mL,"suspensão
oral",J01BA01,Estratégico,Acesso
"cloridrato de
clindamicina",300 mg,cápsula,J01FA01,Básico,Acesso
"cloridrato de
clindamicina",150 mg,cápsula,J01FF01,Básico,Acesso
"cloridrato de
doxiciclina",100 mg,comprimido,J01AA02,Estratégico,Acesso
"cloridrato de
etambutol",400 mg,comprimido,J04AK02,Estratégico,Acesso
"cloridrato de
minociclina",100 mg,comprimido,J01AA08,Estratégico,Alerta
"cloridrato de
moxifloxacino",400 mg,comprimido,J01MA14,Estratégico,Alerta
"cloridrato de
tetraciclina",500 mg,cápsula,J01AA07,Básico,Acesso
"cloridrato de
tetraciclina",30 mg,comprimido,J05AX14,Estratégico,Acesso
"cloridrato de
tetraciclina",60 mg,comprimido,J05AX14,Estratégico,Acesso
dapsona,50 mg*,comprimido,J04BA02,Estratégico,Acesso
dapsona,100 mg*,comprimido,J04BA02,Estratégico,Acesso
darunavir,75 mg,comprimido,J05AE10,Estratégico,Acesso
darunavir,150 mg,comprimido,J05AE10,Estratégico,Acesso
darunavir,600 mg,comprimido,J05AE10,Estratégico,Acesso
delamanida,50 mg,comprimido,J04AK06,Estratégico,Acesso
dolutegravir sódico,50 mg,comprimido,J05AX12,Estratégico,Acesso
doxiciclina,100 mg,"pó para
solução
injetável",J01AA02,Estratégico,Acesso
doxiciclina,100 mg,"comprimido
solúvel",J01AA02,Estratégico,Acesso
efavirenz,600 mg,comprimido,J05AG03,Estratégico,Acesso
efavirenz,200 mg,cápsula,J05AG03,Estratégico,Acesso
efavirenz,30 mg/mL,solução oral,J05AG03,Estratégico,Acesso
"elbasvir +
grazoprevir
monidratado",50 mg + 100 mg,comprimido,J05AP54,Estratégico,Acesso
enfuvirtida,90 mg/mL,"pó para
solução
injetável",J05AX07,Estratégico,Acesso
entecavir,"0,5 mg",comprimido,J05AF10,Estratégico,Acesso
entecavir,1 mg,comprimido,J05AF10,Estratégico,Acesso
espiramicina,"1.500.000
unidades
internacionais",comprimido,J01FA02,Estratégico,Acesso
"estolato de
eritromicina",25 mg/mL,"suspensão
oral",J01FA01,Básico,Alerta
"estolato de
eritromicina",500 mg,comprimido,J01FA01,"Básico e
Estratégico",Alerta
"estolato de
eritromicina",50 mg/mL,"suspensão
oral",J01FA01,"Básico e
Estratégico",Alerta
etionamida,250 mg,comprimido,J04AD03,Estratégico,Alerta
etravirina,100 mg,comprimido,J05AG04,Estratégico,Alerta
etravirina,200 mg,comprimido,J05AG04,Estratégico,Alerta
"fenoximetilpenicilina
potássica","80.000 unidades
internacionais/
mL","pó para
solução oral",J01CE02,Estratégico,Acesso
flucitosina,250 mg,cápsula,J02AX01,Estratégico,Acesso
flucitosina,500 mg,cápsula,J02AX01,Estratégico,Acesso
fluconazol,150 mg,cápsula,J02AC01,Básico,Acesso
fluconazol,10 mg/mL,"suspensão
oral",J02AC01,Básico,Acesso
fluconazol,100 mg,cápsula,J02AC01,Básico,Acesso
fluconazol,2 mg/mL,"solução
injetável",J02AC01,Estratégico,Acesso
fosamprenavir,50 mg/mL,"suspensão
oral",J05AE07,Estratégico,Acesso
"fosfato de
oseltamivir",30 mg,cápsula,J05AH02,Estratégico,Acesso
"fosfato de
oseltamivir",45 mg,cápsula,J05AH02,Estratégico,Acesso
"fosfato de
oseltamivir",75 mg,cápsula,J05AH02,Estratégico,Acesso
"fumarato
de tenofovir
desoproxila",300 mg,comprimido,J05AF07,Estratégico,Acesso
"fumarato
de tenofovir
desoproxila +
entricitabina",300 mg + 200 mg,comprimido,J05AR03,Estratégico,Acesso
"fumarato
de tenofovir
desoproxila +
lamivudina",300 mg + 300 mg,comprimido,J05AR12,Estratégico,Acesso
"fumarato
de tenofovir
desoproxila +
lamivudina +
efavirenz","300 mg + 300 mg
+ 600 mg",comprimido,J05AR11,Estratégico,Acesso
"glecaprevir +
pibrentasvir",100 mg + 40 mg,comprimido,J05AP57,Estratégico,Acesso
hemifumarato de tronofovir alafenamida,25 mg,comprimido,J05AF13,Estratégico,Acesso
imunoglobulina anti-Rho (D),25 mg,"solução
injetável",J06BB01,Hospitalar,Acesso
"imunoglobulina
antitetânica","250 unidades
internacionais/
mL","solução
injetável",J06BB02,Estratégico,Acesso
"imunoglobulina
humana","0,5 g","pó para
solução
injetável",J06BA02,Especializado,Acesso
"imunoglobulina
humana",1 g,"pó para
solução
injetável",J06BA02,"Especializado
e Hospitalar",Acesso
"imunoglobulina
humana","2,5 g","pó para
solução
injetável",J06BA02,Especializado,Acesso
"imunoglobulina
humana",5 g,"pó para
solução
injetável",J06BA02,Especializado,Acesso
"imunoglobulina
humana","0,5 g","solução
injetável",J06BA02,Especializado,Acesso
"imunoglobulina
humana",1 g,"solução
injetável",J06BA02,"Especializado
e Hospitalar",Acesso
"imunoglobulina
humana","2,5 g","solução
injetável",J06BA02,Especializado,Acesso
"imunoglobulina
humana",5 g,"solução
injetável",J06BA02,Especializado,Acesso
"imunoglobulina
humana
anti-hepatite B","100 unidades
internacionais","solução
injetável",J06BB04,Estratégico,Acesso
"imunoglobulina
humana
anti-hepatite B","180 - 200
unidades
internacionais/
mL","solução
injetável",J06BB04,Estratégico,Acesso
"imunoglobulina
humana
anti-hepatite B","500 unidades
internacionais","solução
injetável",J06BB04,"Estratégico e
Hospitalar",Acesso
"imunoglobulina
humana
anti-hepatite B","600 unidades
internacionais","solução
injetável",J06BB04,Estratégico,Acesso
"imunoglobulina
humana
anti-hepatite B","1.000 unidades
internacionais","solução
injetável",J06BB04,Estratégico,Acesso
imunoglobulina humana antirrábica,"150 unidades
internacionais/
mL","solução
injetável",J06BB05,Estratégico,Acesso
imunoglobulina humana antivaricela zoster,"125 unidades
internacionais/
2,5 mL","solução
injetável",J06BB03,Estratégico,Acesso
isoniazida,100 mg,comprimido,J04AC01,Estratégico,Acesso
isoniazida,300 mg,comprimido,J04AC01,Estratégico,Acesso
itraconazol,10 mg/mL,solução oral,J02AC02,Básico,Acesso
itraconazol,100 mg,cápsula,J02AC02,"Básico e
Estratégico",Acesso
lamivudina,10 mg/mL,solução oral,J05AF05,Estratégico,Acesso
lamivudina,150 mg,comprimido,J05AF05,Estratégico,Acesso
"ledipasvir +
sofosbovir",90 mg + 100 mg,comprimido,J05AP51,Estratégico,Acesso
levofloxacino,250 mg,comprimido,J01MA12,Estratégico,Alerta
levofloxacino,500 mg,comprimido,J01MA12,Estratégico,Alerta
linezolida,600 mg,comprimido,J01XX08,Estratégico,Reservado
linezolida,2 mg/mL,"solução para
infusão",J01XX08,Estratégico,Reservado
lopinavir + ritonavir,200 mg + 50 mg,comprimido,J05AR10,Estratégico,Reservado
lopinavir + ritonavir,"80 mg/mL + 20
mg/mL",solução oral,J05AR10,Estratégico,Reservado
lopinavir + ritonavir,100 mg + 25 mg,comprimido,J05AR10,Estratégico,Reservado
maraviroque,150 mg,comprimido,J05AX09,Estratégico,Reservado
metronidazol,250 mg,comprimido,J01XD01,Básico,Acesso
metronidazol,400 mg,comprimido,J01XD01,Básico,Acesso
nevirapina,200 mg,comprimido,J05AG01,Estratégico,Acesso
nevirapina,10 mg/mL,"suspensão
oral",J05AG01,Estratégico,Acesso
nitrofurantoína,100 mg,cápsula,J01XE01,Básico,Acesso
nitrofurantoína,5 mg/mL,"suspensão
oral",J01XE01,Básico,Acesso
ofloxacino,400 mg,comprimido,J01MA01,Estratégico,Alerta
palivizumabe,50 mg,"solução
injetável",J06BB16,Estratégico,Alerta
palivizumabe,100 mg,"solução
injetável",J06BB16,Estratégico,Alerta
pirazinamida,500 mg,comprimido,J04AK01,Estratégico,Alerta
pirazinamida,30 mg/mL (3%),"suspensão
oral",J04AK01,Estratégico,Alerta
pirazinamida,150 mg,"comprimido
dispersível",J04AK01,Estratégico,Alerta
"raltegravir
potássico",100 mg,"comprimido
mastigável",J05AX08,Estratégico,Alerta
"raltegravir
potássico",400 mg,comprimido,J05AX08,Estratégico,Alerta
ribavirina,250 mg,cápsula,J05AB04,Estratégico,Alerta
rifabutina,150 mg,cápsula,J04AB04,Estratégico,Alerta
rifampicina,300 mg,cápsula,J04AB02,Básico,Alerta
rifampicina,150 mg*,cápsula,J04AB02,Estratégico,Alerta
"rifampicina +
isoniazida",150 mg + 75 mg,comprimido,J04AM02,Estratégico,Alerta
"rifampicina +
isoniazida",300 mg + 150 mg,comprimido,J04AM02,Estratégico,Alerta
"rifampicina +
isoniazida",75 mg + 50 mg,"comprimidos
dispersíveis",J04AM02,Estratégico,Alerta
"rifampicina +
isoniazida +
pirazinamida","75 mg + 50 mg +
150 mg","comprimidos
dispersíveis",J04AM05,Estratégico,Alerta
"rifampicina +
isoniazida +
pirazinamida
+ cloridrato de
etambutol","150 mg + 75 mg
+ 400 mg + 275
mg",comprimido,J04AM06,Estratégico,Alerta
rifapentina,150 mg,comprimido,J04AB05,Estratégico,Alerta
ritonavir,100 mg,comprimido,J05AE03,Estratégico,Alerta
sofosbuvir,400 mg,comprimido,J05AX15,Estratégico,Alerta
sofosbuvir + velpatasvir,400 mg + 100 mg,comprimido,J05AP55,Estratégico,Alerta
