Denominação genérica,"Concentração/
Composição","Forma
farmacêutica","Código
ATC",Componente
abatacepte,250 mg,"pó para solução
injetável",L04AA24,Especializado
abatacepte,125 mg/mL,solução injetável,L04AA24,Especializado
acetato de glatirâmer,20 mg,solução injetável,L03AX13,Especializado
acetato de glatirâmer,40 mg,solução injetável,L03AX13,Especializado
"acetato de
gosserrelina","3,6 mg","implante
subcutâneo",L02AE03,Especializado
"acetato de
gosserrelina","10,8 mg","implante
subcutâneo",L02AE03,Especializado
acetato de leuprorrelina,"3,75 mg","pó para
suspensão
injetável",L02AE02,Especializado
acetato de leuprorrelina,"11,25 mg","pó para
suspensão
injetável",L02AE02,Especializado
acetato de leuprorrelina,45 mg,"pó para
suspensão
injetável",L02AE02,Especializado
adalimumabe,40 mg,solução injetável,L04AB04,Especializado
alentuzumabe,10 mg/mL,solução injetável,L04AA34,Especializado
alfainterferona 2b,"3.000.000 unidades
internacionais","pó para solução
injetável",L03AB05,Especializado
alfainterferona 2b,"5.000.000 unidades
internacionais","pó para solução
injetável",L03AB05,Especializado
alfainterferona 2b,"10.000.000 unidades
internacionais","pó para solução
injetável",L03AB05,Especializado
alfapeginterferona 2a,180 microgramas,solução injetável,L03AB11,Estratégico
alfapeginterferona 2b,"118,4 microgramas (80
microgramas/0,5 mL
após reconstituição)","pó para solução
injetável",L03AB10,Estratégico
alfapeginterferona 2b,"148 microgramas (100
microgramas/0,5 mL
após reconstituição)","pó para solução
injetável",L03AB10,Estratégico
alfapeginterferona 2b,"177,6 microgramas (120
microgramas/0,5 mL
após reconstituição)","pó para solução
injetável",L03AB10,Estratégico
azatioprina,50 mg,comprimido,L04AX01,Especializado
baricitinibe,2 mg,comprimido,L04AA37,Especializado
baricitinibe,4 mg,comprimido,L04AA37,Especializado
basiliximabe,20 mg,"pó para solução
injetável",L04AC02,Hospitalar
betainterferona 1a,"22 microgramas
(6.000.000 unidades
internacionais)",solução injetável,L03AB07,Especializado
betainterferona 1a,"30 microgramas
(6.000.000 unidades
internacionais)",solução injetável,L03AB07,Especializado
betainterferona 1a,"44 microgramas
(12.000.000 unidades
internacionais)",solução injetável,L03AB07,Especializado
betainterferona 1b,"300 microgramas
(9.600.000 unidades
internacionais)","pó para solução
injetável",L03AB08,Especializado
certolizumabe pegol,200 mg,solução injetável,L04AB05,Especializado
ciclofosfamida,50 mg,comprimido,L01AA01,Especializado
ciclosporina,10 mg,cápsula mole,L04AD01,"Especializado
e Hospitalar"
ciclosporina,25 mg,cápsula mole,L04AD01,"Especializado
e Hospitalar"
ciclosporina,50 mg,cápsula mole,L04AD01,"Especializado
e Hospitalar"
ciclosporina,100 mg,cápsula mole,L04AD01,"Especializado
e Hospitalar"
ciclosporina,100 mg/mL,solução oral,L04AD01,"Especializado
e Hospitalar"
ciclosporina,50 mg,solução injetável,L04AD01,Hospitalar
daclizumabe,5 mg/mL,solução injetável,L04AC01,Hospitalar
eculizumabe,10 mg/ml,"solução para
diluição para
infusão",L04AA25,Especializado
etanercepte,25 mg,solução injetável,L04AB01,Especializado
etanercepte,50 mg,solução injetável,L04AB01,Especializado
everolimo,"0,5 mg",comprimido,L04AA18,"Especializado
e Hospitalar"
everolimo,"0,75 mg",comprimido,L04AA18,"Especializado
e Hospitalar"
everolimo,1 mg,comprimido,L04AA18,"Especializado
e Hospitalar"
filgrastim,300 microgramas,solução injetável,L03AA02,Especializado
fingolimode,"0,5 mg",cápsula,L04AA27,Especializado
golimumabe,50 mg,solução injetável,L04AB06,Especializado
hidroxiureia,500 mg,cápsula,L01XX05,Especializado
"imunoglobulina
antitimócitos
humanos (coelho)",25 mg,"pó para solução
injetável",L04AA04,Hospitalar
infliximabe,100 mg,"pó para solução
injetável",L04AB02,Especializado
leflunomida,20 mg,comprimido,L04AA13,Especializado
metotrexato,25 mg/mL,solução injetável,L04AX03,Especializado
metotrexato,"2,5 mg",comprimido,L04AX03,Especializado
"micofenolato
de mofetila",500 mg,comprimido,L04AA,"Especializado
e Hospitalar"
"micofenolato
de sódio",180 mg,comprimido,L04AA,"Especializado
e Hospitalar"
"micofenolato
de sódio",360 mg,comprimido,L04AA,"Especializado
e Hospitalar"
miltefosina,10 mg,cápsula,L01XX09,Estratégico
miltefosina,50 mg,cápsula,L01XX09,Estratégico
natalizumabe,20 mg/mL,solução injetável,L04AA23,Especializado
risanquizumabe,"75 mg/ 0,83 mL",solução injetável,L04AC18,Especializado
