Denominação genérica,"Concentração/
Composição","Forma
farmacêutica","Código
ATC",Componente
ácido zoledrônico,5 mg/100 mL,solução injetável,M05BA08,Especializado
alendronato de sódio,10 mg,comprimido,M05BA04,Básico
alendronato de sódio,70 mg,comprimido,M05BA04,Básico
alopurinol,100 mg,comprimido,M04AA01,Básico
alopurinol,300 mg,comprimido,M04AA01,Básico
burosumabe,10 mg/mL,solução injetável,M05BX05,Especializado
burosumabe,20 mg/mL,solução injetável,M05BX05,Especializado
burosumabe,30 mg/mL,solução injetável,M05BX05,Especializado
ibuprofeno,200 mg,comprimido,M01AE01,Básico
ibuprofeno,300 mg,comprimido,M01AE01,Básico
ibuprofeno,600 mg,comprimido,M01AE01,Básico
ibuprofeno,50 mg/mL,suspensão oral,M01AE01,Básico
naproxeno,250 mg,comprimido,M01AE02,Especializado
naproxeno,500 mg,comprimido,M01AE02,Especializado
nusinersena,"2,4 mg/mL",solução injetável,M09AX07,Especializado
"pamidronato
dissódico",60 mg,solução injetável,M05BA03,Especializado
penicilamina,250 mg,cápsula,M01CC01,Especializado
risedronato sódico,35 mg,comprimido,M05BA07,Especializado
toxina botulínica A,100 unidades,"pó para solução
injetável",M03AX01,Especializado
toxina botulínica A,500 unidades,"pó para solução
injetável",M03AX01,Especializado
