"Denominação
genérica","Concentração/
Composição","Forma
farmacêutica","Código
ATC",Componente
"ácido
acetilsalicílico",500 mg,comprimido,N02BA01,Básico
ácido valproico,250 mg,cápsula,N03AG01,Básico
ácido valproico,250 mg,comprimido,N03AG01,Básico
ácido valproico,500 mg,comprimido,N03AG01,Básico
ácido valproico,50 mg/mL,solução oral,N03AG01,Básico
ácido valproico,50 mg/mL,xarope,N03AG01,Básico
"brometo de
piridostigmina",60 mg,comprimido,N07AA02,Especializado
"bromidrato de
galantamina",8 mg,"cápsula de
liberação
prolongada",N06DA04,Especializado
"bromidrato de
galantamina",16 mg,"cápsula de
liberação
prolongada",N06DA04,Especializado
"bromidrato de
galantamina",24 mg,"cápsula de
liberação
prolongada",N06DA04,Especializado
carbamazepina,200 mg,comprimido,N03AF01,Básico
carbamazepina,400 mg,comprimido,N03AF01,Básico
carbamazepina,20 mg/mL,suspensão oral,N03AF01,Básico
carbonato de lítio,300 mg,comprimido,N05AN01,Básico
clobazam,10 mg,comprimido,N05BA09,Especializado
clobazam,20 mg,comprimido,N05BA09,Especializado
clonazepam,"2,5 mg/mL",solução oral,N03AE01,Básico
"cloridrato de
amantadina",100 mg,comprimido,N04BB01,Especializado
"cloridrato de
amitriptilina",25 mg,comprimido,N06AA09,Básico
"cloridrato de
amitriptilina",75 mg,comprimido,N06AA09,Básico
"cloridrato de
biperideno",4 mg,"comprimido
de liberação
prolongada",N04AA02,Básico
"cloridrato de
biperideno",2 mg,comprimido,N04AA02,Básico
"cloridrato de
bupivacaína","2,5 mg/mL (0,25%)",solução injetável,N01BB01,Básico
"cloridrato de
bupivacaína","5 mg/mL (0,50%)",solução injetável,N01BB01,Básico
"cloridrato de
bupropiona",150 mg,"comprimido
de liberação
prolongada",N06AX12,Estratégico
"cloridrato de
clomipramina",10 mg,comprimido,N06AA04,Básico
"cloridrato de
clomipramina",25 mg,comprimido,N06AA04,Básico
"cloridrato de
clorpromazina",5 mg/mL,solução injetável,N05AA01,Básico
"cloridrato de
clorpromazina",40 mg/mL,solução oral,N05AA01,Básico
"cloridrato de
clorpromazina",25 mg,comprimido,N05AA01,Básico
"cloridrato de
clorpromazina",100 mg,comprimido,N05AA01,Básico
"cloridrato de
donepezila",5 mg,comprimido,N06DA02,Especializado
"cloridrato de
donepezila",10 mg,comprimido,N06DA02,Especializado
"cloridrato de
fluoxetina",20 mg,cápsula,N06AB03,Básico
"cloridrato de
fluoxetina",20 mg,comprimido,N06AB03,Básico
"cloridrato de
lidocaína",100 mg/mL,solução spray,N01BB02,Básico
"cloridrato de
lidocaína + glicose","50 mg/mL + 75 mg/mL
(5% + 7,5%)",solução injetável,N01BB52,Básico
"cloridrato de
lidocaína +
hemitartarato de
epinefrina",2% + 1:200.000,solução injetável,N01BB52,Básico
"cloridrato de
lidocaína +
hemitartarato de
epinefrina",2% + 1:80.000,solução injetável,N01BB52,Básico
"cloridrato de
lidocaína +
hemitartarato de
epinefrina",1% + 1:200.000,solução injetável,N01BB52,Básico
cloridrato de metadona,5 mg,comprimido,N07BC02,Especializado
cloridrato de metadona,10 mg,comprimido,N07BC02,Especializado
cloridrato de metadona,10 mg/mL,solução injetável,N07BC02,Especializado
