"Denominação
genérica","Concentração/
Composição","Forma
farmacêutica","Código
ATC",Componente
benzoilmetronidazol,40 mg/mL,suspensão oral,P01AB01,Básico
teclozana,500 mg,comprimido,P01AC04,Básico
teclozana,10 mg/mL,suspensão oral,P01AC04,Básico
difosfato de cloroquina,150 mg,comprimido,P01BA01,"Estratégico e
Especializado"
"sulfato de
hidroxicloroquina",400 mg,comprimido,P01BA02,Especializado
"difosfato de
primaquina",15 mg,comprimido,P01BA03,Estratégico
"difosfato de
primaquina",5 mg,comprimido,P01BA03,Estratégico
"succinato de
tafenoquina",150 mg,comprimido,P01BA07,Estratégico
pirimetamina,25 mg,comprimido,P01BD01,Estratégico
artesunato,60 mg/mL,"pó para solução
injetável",P01BE03,Estratégico
"arteméter +
lumefantrina",20 mg + 120 mg,comprimido,P01BF01,Estratégico
"artesunato +
cloridrato de
mefloquina",25 mg + 55 mg,comprimido,P01BF02,Estratégico
"artesunato +
cloridrato de
mefloquina",100 mg + 220 mg,comprimido,P01BF02,Estratégico
benznidazol,"12,5 mg",comprimido,P01CA02,Estratégico
benznidazol,100 mg,comprimido,P01CA02,Estratégico
"antimoniato de
meglumina",300 mg/mL,solução injetável,P01CB01,Estratégico
"isetionato de
pentamidina",300 mg,"pó para solução
injetável",P01CX01,Estratégico
praziquantel,600 mg,comprimido,P02BA01,Estratégico
oxamniquina,50 mg/mL,suspensão oral,P02BA02,Estratégico
albendazol,40 mg/mL,suspensão oral,P02CA03,Básico
albendazol,400 mg,"comprimido
mastigável",P02CA03,"Básico e
Estratégico"
"citrato de
dietilcarbamazina",50 mg,comprimido,P02CB02,Estratégico
ivermectina,6 mg,comprimido,P02CF01,Básico
permetrina,10 mg/g (1%),loção,P03AC04,Básico
permetrina,50 mg/g (5% ),loção,P03AC04,Básico
